Player,Rnd,K,D,A,FK,FD,CL,LastAlive,KMax,Rating,ACS,ADR,KAST,HS%,KD,KDA,KPR,DPR,APR,FKPR,FDPR,CLPR,LastAlivePR,CL%,BaitScore
shyy,569,424,351,118,42,28,16,86,26,1.14,200.16,135.26,0.74,0.26,1.21,1.54,0.75,0.62,0.21,0.07,0.05,0.03,0.15,0.19,0.88
silentzz,303,196,247,50,32,31,2,32,21,0.8,188.5,126.04,0.66,0.38,0.79,1.0,0.65,0.82,0.17,0.11,0.1,0.01,0.11,0.06,0.51
smoggy,313,203,219,152,30,20,9,45,24,1.01,191.1,124.6,0.74,0.3,0.93,1.62,0.65,0.7,0.49,0.1,0.06,0.03,0.14,0.2,0.27
sociablee,513,410,351,100,51,46,11,75,40,1.11,220.53,143.86,0.73,0.25,1.17,1.45,0.8,0.68,0.19,0.1,0.09,0.02,0.15,0.15,0.88
something,529,365,367,145,71,66,10,66,23,1.0,196.06,126.89,0.71,0.25,0.99,1.39,0.69,0.69,0.27,0.13,0.12,0.02,0.12,0.15,0.45
soulcas,347,239,245,73,25,14,7,45,23,0.99,188.64,126.89,0.73,0.34,0.98,1.27,0.69,0.71,0.21,0.07,0.04,0.02,0.13,0.16,0.6
stax,1314,817,852,470,58,71,21,164,28,0.99,172.63,118.7,0.72,0.29,0.96,1.51,0.62,0.65,0.36,0.04,0.05,0.02,0.12,0.13,0.33
stellar,38,29,24,11,4,6,2,2,15,1.08,204.5,143.3,0.76,0.19,1.21,1.67,0.76,0.63,0.29,0.11,0.16,0.05,0.05,1.0,0.22
sugarz3ro,338,225,235,112,20,18,5,36,27,0.98,180.33,115.88,0.73,0.3,0.96,1.43,0.67,0.7,0.33,0.06,0.05,0.01,0.11,0.14,0.31
suggest,112,64,83,13,10,13,0,8,21,0.66,152.2,110.8,0.65,0.3,0.77,0.93,0.57,0.74,0.12,0.09,0.12,0.0,0.07,0.0,0.47
supamen,529,368,368,151,36,42,17,82,25,1.0,194.78,126.76,0.69,0.37,1.0,1.41,0.7,0.7,0.29,0.07,0.08,0.03,0.16,0.21,0.54
suygetsu,451,325,272,158,35,40,7,68,26,1.11,195.93,127.39,0.77,0.43,1.19,1.78,0.72,0.6,0.35,0.08,0.09,0.02,0.15,0.1,0.51
sylvan,972,599,661,527,62,76,17,104,25,0.96,181.54,117.68,0.74,0.26,0.91,1.7,0.62,0.68,0.54,0.06,0.08,0.02,0.11,0.16,0.18
syouta,338,200,260,57,35,29,5,49,18,0.78,166.48,109.57,0.61,0.37,0.77,0.99,0.59,0.77,0.17,0.1,0.09,0.01,0.14,0.1,0.66
t3xture,646,550,466,103,113,127,8,37,35,1.06,235.85,149.79,0.68,0.26,1.18,1.4,0.85,0.72,0.16,0.17,0.2,0.01,0.06,0.22,0.42
tenten,103,75,78,20,23,23,1,4,20,0.94,216.4,135.5,0.69,0.16,0.96,1.22,0.73,0.76,0.19,0.22,0.22,0.01,0.04,0.25,0.19
tex,377,263,258,55,35,40,10,51,23,0.98,193.83,128.65,0.7,0.37,1.02,1.23,0.7,0.68,0.15,0.09,0.11,0.03,0.14,0.2,0.95
thyy,392,242,274,153,23,20,5,53,24,0.93,177.2,113.7,0.73,0.33,0.88,1.44,0.62,0.7,0.39,0.06,0.05,0.01,0.14,0.09,0.31
tomaszy,329,192,252,115,28,41,4,39,23,0.82,165.53,110.8,0.67,0.31,0.76,1.22,0.58,0.77,0.35,0.09,0.12,0.01,0.12,0.1,0.26
trent,1154,885,692,357,90,81,43,162,28,1.23,215.24,146.39,0.77,0.26,1.28,1.79,0.77,0.6,0.31,0.08,0.07,0.04,0.14,0.27,0.58
trexx,474,310,306,194,31,25,9,66,29,1.06,200.42,131.15,0.71,0.18,1.01,1.65,0.65,0.65,0.41,0.07,0.05,0.02,0.14,0.14,0.34
tuyz,447,250,296,135,28,30,12,67,16,0.88,159.96,107.19,0.71,0.3,0.84,1.3,0.56,0.66,0.3,0.06,0.07,0.03,0.15,0.18,0.42
udotan,363,275,274,65,42,57,4,40,28,1.01,216.47,143.93,0.68,0.28,1.0,1.24,0.76,0.75,0.18,0.12,0.16,0.01,0.11,0.1,0.62
v1c,519,359,335,218,38,37,18,95,27,1.1,194.79,125.59,0.76,0.31,1.07,1.72,0.69,0.65,0.42,0.07,0.07,0.03,0.18,0.19,0.47
v1nny,372,185,265,155,11,31,4,40,20,0.78,142.74,98.08,0.72,0.31,0.7,1.28,0.5,0.71,0.42,0.03,0.08,0.01,0.11,0.1,0.18
vakk,244,135,175,60,8,17,5,32,22,0.78,150.5,97.4,0.67,0.32,0.77,1.11,0.55,0.72,0.25,0.03,0.07,0.02,0.13,0.16,0.41
valyn,1154,807,762,457,90,95,21,108,26,1.06,193.98,125.21,0.75,0.23,1.06,1.66,0.7,0.66,0.4,0.08,0.08,0.02,0.09,0.19,0.25
verno,683,471,401,188,37,36,18,96,24,1.12,193.26,130.73,0.77,0.27,1.17,1.64,0.69,0.59,0.28,0.05,0.05,0.03,0.14,0.19,0.6
westside,435,287,316,90,31,34,4,63,23,0.91,180.95,119.0,0.66,0.4,0.91,1.19,0.66,0.73,0.21,0.07,0.08,0.01,0.14,0.06,0.64
wild0reoo,382,238,290,61,42,45,4,33,25,0.84,179.25,120.32,0.66,0.28,0.82,1.03,0.62,0.76,0.16,0.11,0.12,0.01,0.09,0.12,0.44
wo0t,428,335,288,137,55,38,6,35,23,1.13,221.24,143.39,0.75,0.35,1.16,1.64,0.78,0.67,0.32,0.13,0.09,0.01,0.08,0.17,0.3
xdll,338,227,273,67,39,31,4,36,21,0.84,193.99,125.74,0.66,0.35,0.83,1.08,0.67,0.81,0.2,0.12,0.09,0.01,0.11,0.11,0.45
xenom,873,587,559,310,52,67,19,114,33,1.01,182.89,119.0,0.74,0.32,1.05,1.6,0.67,0.64,0.36,0.06,0.08,0.02,0.13,0.17,0.39
xeppaa,519,372,358,137,40,34,15,66,28,1.04,202.94,135.22,0.72,0.25,1.04,1.42,0.72,0.69,0.26,0.08,0.07,0.03,0.13,0.23,0.5
xeus,472,395,362,73,86,95,4,30,33,1.03,238.94,148.82,0.66,0.37,1.09,1.29,0.84,0.77,0.15,0.18,0.2,0.01,0.06,0.13,0.45
xffero,610,425,390,152,52,45,10,78,31,1.01,189.82,128.29,0.75,0.28,1.09,1.48,0.7,0.64,0.25,0.09,0.07,0.02,0.13,0.13,0.56
yay,529,412,403,89,91,66,9,51,27,1.01,216.82,142.94,0.67,0.33,1.02,1.24,0.78,0.76,0.17,0.17,0.12,0.02,0.1,0.18,0.59
yetujey,472,345,320,112,51,42,10,80,38,1.07,203.24,136.31,0.71,0.24,1.08,1.43,0.73,0.68,0.24,0.11,0.09,0.02,0.17,0.12,0.77
yoman,304,185,185,93,18,17,2,35,22,1.0,172.1,108.5,0.74,0.3,1.0,1.5,0.61,0.61,0.31,0.06,0.06,0.01,0.12,0.06,0.38
zander,578,362,396,235,55,56,11,60,28,0.97,181.13,116.86,0.75,0.24,0.91,1.51,0.63,0.69,0.41,0.1,0.1,0.02,0.1,0.18,0.23
zap,114,62,88,26,4,8,2,13,17,0.73,158.58,109.58,0.66,0.2,0.7,1.0,0.54,0.77,0.23,0.04,0.07,0.02,0.11,0.15,0.35
zekken,858,700,600,193,166,158,13,71,32,1.09,229.04,147.41,0.73,0.26,1.17,1.49,0.82,0.7,0.22,0.19,0.18,0.02,0.08,0.18,0.43
zellsis,858,531,599,268,67,91,13,111,31,0.92,182.61,119.53,0.69,0.23,0.89,1.33,0.62,0.7,0.31,0.08,0.11,0.02,0.13,0.12,0.37
zmjjkk,313,260,249,59,66,70,1,27,33,1.01,236.2,151.0,0.7,0.23,1.04,1.28,0.83,0.8,0.19,0.21,0.22,0.0,0.09,0.04,0.48
zyppan,477,271,337,144,34,51,4,48,22,0.86,162.21,113.69,0.68,0.29,0.8,1.23,0.57,0.71,0.3,0.07,0.11,0.01,0.1,0.08,0.27
